acc_z,stanje_na_putu
8.477,not ok
9.067,ok
10.28,not ok
8.796,not ok
8.873,not ok
10.23,not ok
10.403,not ok
11.267,not ok
10.67,not ok
9.9,ok
9.908,ok
10.182,not ok
9.889,ok
10.377,not ok
10.908,not ok
10.032,not ok
10.56,not ok
10.499,not ok
10.825,not ok
11.074,not ok
10.468,not ok
10.924,not ok
11.007,not ok
11.393,not ok
10.997,not ok
10.654,not ok
10.815,not ok
10.841,not ok
10.794,not ok
10.404,not ok
10.173,not ok
10.179,not ok
9.228,ok
11.103,not ok
10.626,not ok
9.389,ok
9.601,ok
10.126,not ok
9.835,ok
